"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LFPR","15_24","PC_AGE","A","1966",69.9087504615222,
"AUS","LFPR","15_24","PC_AGE","A","1967",69.4241479740432,
"AUS","LFPR","15_24","PC_AGE","A","1968",68.2222331384782,
"AUS","LFPR","15_24","PC_AGE","A","1969",67.5777343936003,
"AUS","LFPR","15_24","PC_AGE","A","1970",68.1216441399741,
"AUS","LFPR","15_24","PC_AGE","A","1971",66.6428603312056,
"AUS","LFPR","15_24","PC_AGE","A","1972",66.9244788193982,
"AUS","LFPR","15_24","PC_AGE","A","1973",66.9524892816519,
"AUS","LFPR","15_24","PC_AGE","A","1974",66.4529178860389,
"AUS","LFPR","15_24","PC_AGE","A","1975",67.9551915814486,
"AUS","LFPR","15_24","PC_AGE","A","1976",67.678504045952,
"AUS","LFPR","15_24","PC_AGE","A","1977",69.4985785505336,
"AUS","LFPR","15_24","PC_AGE","A","1978",69.6487565910928,
"AUS","LFPR","15_24","PC_AGE","A","1979",70.4736424875277,
"AUS","LFPR","15_24","PC_AGE","A","1980",72.1752843544268,
"AUS","LFPR","15_24","PC_AGE","A","1981",72.1580550660022,
"AUS","LFPR","15_24","PC_AGE","A","1982",71.7529564208813,
"AUS","LFPR","15_24","PC_AGE","A","1983",71.2902773320933,
"AUS","LFPR","15_24","PC_AGE","A","1984",71.019815343875,
"AUS","LFPR","15_24","PC_AGE","A","1985",71.2166591115744,
"AUS","LFPR","15_24","PC_AGE","A","1986",72.0057737437685,
"AUS","LFPR","15_24","PC_AGE","A","1987",71.2945180865346,
"AUS","LFPR","15_24","PC_AGE","A","1988",71.0381512659044,
"AUS","LFPR","15_24","PC_AGE","A","1989",72.0937427204407,
"AUS","LFPR","15_24","PC_AGE","A","1990",72.1036412454454,
"AUS","LFPR","15_24","PC_AGE","A","1991",69.6567436122201,
"AUS","LFPR","15_24","PC_AGE","A","1992",69.3863209525191,
"AUS","LFPR","15_24","PC_AGE","A","1993",68.7257751059089,
"AUS","LFPR","15_24","PC_AGE","A","1994",70.5759208619968,
"AUS","LFPR","15_24","PC_AGE","A","1995",71.6403727384952,
"AUS","LFPR","15_24","PC_AGE","A","1996",71.663465138317,
"AUS","LFPR","15_24","PC_AGE","A","1997",70.0598683557702,
"AUS","LFPR","15_24","PC_AGE","A","1998",69.8696881564879,
"AUS","LFPR","15_24","PC_AGE","A","1999",69.9245499592141,
"AUS","LFPR","15_24","PC_AGE","A","2000",70.1812518753732,
"AUS","LFPR","15_24","PC_AGE","A","2001",70.6711242646873,
"AUS","LFPR","15_24","PC_AGE","A","2002",69.9757179239044,
"AUS","LFPR","15_24","PC_AGE","A","2003",70.2217925982258,
"AUS","LFPR","15_24","PC_AGE","A","2004",70.1398084123744,
"AUS","LFPR","15_24","PC_AGE","A","2005",70.8101299596315,
"AUS","LFPR","15_24","PC_AGE","A","2006",70.8013751574961,
"AUS","LFPR","15_24","PC_AGE","A","2007",70.7602855928579,
"AUS","LFPR","15_24","PC_AGE","A","2008",70.7474673590046,
"AUS","LFPR","15_24","PC_AGE","A","2009",69.1002000017073,
"AUS","LFPR","15_24","PC_AGE","A","2010",68.4255106077069,
"AUS","LFPR","15_24","PC_AGE","A","2011",68.141653243303,
"AUS","LFPR","15_24","PC_AGE","A","2012",67.504803658786,
"AUS","LFPR","15_24","PC_AGE","A","2013",66.8144317394899,
"AUS","LFPR","15_24","PC_AGE","A","2014",66.5817885729739,
"AUS","LFPR","15_24","PC_AGE","A","2015",67.3137185424588,
"AUS","LFPR","15_24","PC_AGE","A","2016",66.8502340185051,
"AUS","LFPR","25_54","PC_AGE","A","1966",67.7034876993219,
"AUS","LFPR","25_54","PC_AGE","A","1967",67.9595931956036,
"AUS","LFPR","25_54","PC_AGE","A","1968",68.6836422530142,
"AUS","LFPR","25_54","PC_AGE","A","1969",69.276084989961,
"AUS","LFPR","25_54","PC_AGE","A","1970",70.731130045615,
"AUS","LFPR","25_54","PC_AGE","A","1971",71.2148666301462,
"AUS","LFPR","25_54","PC_AGE","A","1972",71.7284785862189,
"AUS","LFPR","25_54","PC_AGE","A","1973",72.5325678957827,
"AUS","LFPR","25_54","PC_AGE","A","1974",72.8802614327926,
