"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EU28","LF","MEN","THND_PER","A","1998",97750,
"EU28","LF","MEN","THND_PER","A","1999",97788,
"EU28","LF","MEN","THND_PER","A","2000",124674.5,
"EU28","LF","MEN","THND_PER","A","2001",125010.8,
"EU28","LF","MEN","THND_PER","A","2002",125324.1,
"EU28","LF","MEN","THND_PER","A","2003",125782.4,
"EU28","LF","MEN","THND_PER","A","2004",126329.8,"B"
"EU28","LF","MEN","THND_PER","A","2005",127962.5,
"EU28","LF","MEN","THND_PER","A","2006",129144,"B"
"EU28","LF","MEN","THND_PER","A","2007",130697.5,
"EU28","LF","MEN","THND_PER","A","2008",131667.4,
"EU28","LF","MEN","THND_PER","A","2009",131469,
"EU28","LF","MEN","THND_PER","A","2010",130417.7,
"EU28","LF","MEN","THND_PER","A","2011",130144.1,
"EU28","LF","MEN","THND_PER","A","2012",130744,
"EU28","LF","MEN","THND_PER","A","2013",130760.4,
"EU28","LF","MEN","THND_PER","A","2014",131391.8,
"EU28","LF","MEN","THND_PER","A","2015",131661.9,
"EU28","LF","MEN","THND_PER","A","2016",132312.3,
"PRT","LF","MEN","THND_PER","A","1960",2791,
"PRT","LF","MEN","THND_PER","A","1974",2259,
"PRT","LF","MEN","THND_PER","A","1975",2378,
"PRT","LF","MEN","THND_PER","A","1976",2481,
"PRT","LF","MEN","THND_PER","A","1977",2477,
"PRT","LF","MEN","THND_PER","A","1978",2475,
"PRT","LF","MEN","THND_PER","A","1979",2480,
"PRT","LF","MEN","THND_PER","A","1980",2542,
"PRT","LF","MEN","THND_PER","A","1981",2475,
"PRT","LF","MEN","THND_PER","A","1982",2483,"B"
"PRT","LF","MEN","THND_PER","A","1983",2619,
"PRT","LF","MEN","THND_PER","A","1984",2601,
"PRT","LF","MEN","THND_PER","A","1985",2574,
"PRT","LF","MEN","THND_PER","A","1986",2593,
"PRT","LF","MEN","THND_PER","A","1987",2585,
"PRT","LF","MEN","THND_PER","A","1988",2591,
"PRT","LF","MEN","THND_PER","A","1989",2626,
"PRT","LF","MEN","THND_PER","A","1990",2769,
"PRT","LF","MEN","THND_PER","A","1991",2655,"B"
"PRT","LF","MEN","THND_PER","A","1992",2599.3,
"PRT","LF","MEN","THND_PER","A","1993",2569.2,
"PRT","LF","MEN","THND_PER","A","1994",2592.3,
"PRT","LF","MEN","THND_PER","A","1995",2580.2,
"PRT","LF","MEN","THND_PER","A","1996",2591.5,
"PRT","LF","MEN","THND_PER","A","1997",2618,"B"
"PRT","LF","MEN","THND_PER","A","1998",2809.025,
"PRT","LF","MEN","THND_PER","A","1999",2820.95,
"PRT","LF","MEN","THND_PER","A","2000",2857.125,
"PRT","LF","MEN","THND_PER","A","2001",2901.3,"B"
"PRT","LF","MEN","THND_PER","A","2002",2934.975,
"PRT","LF","MEN","THND_PER","A","2003",2922.075,
"PRT","LF","MEN","THND_PER","A","2004",2905,"B"
"PRT","LF","MEN","THND_PER","A","2005",2899.7,
"PRT","LF","MEN","THND_PER","A","2006",2915.525,
"PRT","LF","MEN","THND_PER","A","2007",2917.575,
"PRT","LF","MEN","THND_PER","A","2008",2913.975,
"PRT","LF","MEN","THND_PER","A","2009",2864.625,
"PRT","LF","MEN","THND_PER","A","2010",2847.075,"B"
"PRT","LF","MEN","THND_PER","A","2011",2837.475,
"PRT","LF","MEN","THND_PER","A","2012",2791.475,
"PRT","LF","MEN","THND_PER","A","2013",2724.625,
"PRT","LF","MEN","THND_PER","A","2014",2681.025,
"PRT","LF","MEN","THND_PER","A","2015",2657.325,
"PRT","LF","MEN","THND_PER","A","2016",2652.4,
"USA","LF","TOT","THND_PER","Q","1955-Q1",63829.33,
"USA","LF","TOT","THND_PER","Q","1955-Q2",64475.67,
"USA","LF","TOT","THND_PER","Q","1955-Q3",65451.33,
"USA","LF","TOT","THND_PER","Q","1955-Q4",66101,
"USA","LF","TOT","THND_PER","Q","1956-Q1",66239.34,
"USA","LF","TOT","THND_PER","Q","1956-Q2",66562.66,
"USA","LF","TOT","THND_PER","Q","1956-Q3",66713,
"USA","LF","TOT","THND_PER","Q","1956-Q4",66634.34,
"USA","LF","TOT","THND_PER","Q","1957-Q1",66740,
"USA","LF","TOT","THND_PER","Q","1957-Q2",66798,
"USA","LF","TOT","THND_PER","Q","1957-Q3",67035.34,
"USA","LF","TOT","THND_PER","Q","1957-Q4",67195.66,
"USA","LF","TOT","THND_PER","Q","1958-Q1",67173,
"USA","LF","TOT","THND_PER","Q","1958-Q2",67738.66,
"USA","LF","TOT","THND_PER","Q","1958-Q3",67954.34,
"USA","LF","TOT","THND_PER","Q","1958-Q4",67814.34,
"USA","LF","TOT","THND_PER","Q","1959-Q1",67884.34,
"USA","LF","TOT","THND_PER","Q","1959-Q2",68265,
"USA","LF","TOT","THND_PER","Q","1959-Q3",68505.34,
"USA","LF","TOT","THND_PER","Q","1959-Q4",68782.66,
"USA","LF","TOT","THND_PER","Q","1960-Q1",68770,
"USA","LF","TOT","THND_PER","Q","1960-Q2",69713,
"USA","LF","TOT","THND_PER","Q","1960-Q3",69912.34,
"USA","LF","TOT","THND_PER","Q","1960-Q4",70239.34,
"USA","LF","TOT","THND_PER","Q","1961-Q1",70523.34,
"USA","LF","TOT","THND_PER","Q","1961-Q2",70532.34,
"USA","LF","TOT","THND_PER","Q","1961-Q3",70429,
"USA","LF","TOT","THND_PER","Q","1961-Q4",70315,
"USA","LF","TOT","THND_PER","Q","1962-Q1",70337.34,
"USA","LF","TOT","THND_PER","Q","1962-Q2",70447.66,
"USA","LF","TOT","THND_PER","Q","1962-Q3",70812,
"USA","LF","TOT","THND_PER","Q","1962-Q4",70880.66,
"USA","LF","TOT","THND_PER","Q","1963-Q1",71277,
"USA","LF","TOT","THND_PER","Q","1963-Q2",71718.34,
"USA","LF","TOT","THND_PER","Q","1963-Q3",71957.66,
"USA","LF","TOT","THND_PER","Q","1963-Q4",72295.66,
"USA","LF","TOT","THND_PER","Q","1964-Q1",72584,
"USA","LF","TOT","THND_PER","Q","1964-Q2",73233.66,
"USA","LF","TOT","THND_PER","Q","1964-Q3",73138.34,
"USA","LF","TOT","THND_PER","Q","1964-Q4",73353,
"USA","LF","TOT","THND_PER","Q","1965-Q1",73791.66,
"USA","LF","TOT","THND_PER","Q","1965-Q2",74368.66,
"USA","LF","TOT","THND_PER","Q","1965-Q3",74626.34,
"USA","LF","TOT","THND_PER","Q","1965-Q4",74909.34,
"USA","LF","TOT","THND_PER","Q","1966-Q1",75071.66,
"USA","LF","TOT","THND_PER","Q","1966-Q2",75477.34,
"USA","LF","TOT","THND_PER","Q","1966-Q3",75946,
"USA","LF","TOT","THND_PER","Q","1966-Q4",76483.34,
"USA","LF","TOT","THND_PER","Q","1967-Q1",76496,
"USA","LF","TOT","THND_PER","Q","1967-Q2",76940,
"USA","LF","TOT","THND_PER","Q","1967-Q3",77662.66,
"USA","LF","TOT","THND_PER","Q","1967-Q4",78292,
"USA","LF","TOT","THND_PER","Q","1968-Q1",78021.34,
"USA","LF","TOT","THND_PER","Q","1968-Q2",78745.66,
"USA","LF","TOT","THND_PER","Q","1968-Q3",78879.66,
"USA","LF","TOT","THND_PER","Q","1968-Q4",79195,
"USA","LF","TOT","THND_PER","Q","1969-Q1",79873.66,
"USA","LF","TOT","THND_PER","Q","1969-Q2",80367.34,
"USA","LF","TOT","THND_PER","Q","1969-Q3",81074.34,
"USA","LF","TOT","THND_PER","Q","1969-Q4",81505,
"USA","LF","TOT","THND_PER","Q","1970-Q1",82210,
"USA","LF","TOT","THND_PER","Q","1970-Q2",82564.66,
"USA","LF","TOT","THND_PER","Q","1970-Q3",82911.66,
"USA","LF","TOT","THND_PER","Q","1970-Q4",83498,
"USA","LF","TOT","THND_PER","Q","1971-Q1",83676,
"USA","LF","TOT","THND_PER","Q","1971-Q2",83929,
"USA","LF","TOT","THND_PER","Q","1971-Q3",84581.34,
"USA","LF","TOT","THND_PER","Q","1971-Q4",85318.34,
"USA","LF","TOT","THND_PER","Q","1972-Q1",86208.34,
"USA","LF","TOT","THND_PER","Q","1972-Q2",86809.66,
"USA","LF","TOT","THND_PER","Q","1972-Q3",87350.66,
"USA","LF","TOT","THND_PER","Q","1972-Q4",87675.34,
"USA","LF","TOT","THND_PER","Q","1973-Q1",88232.34,
"USA","LF","TOT","THND_PER","Q","1973-Q2",89181,
"USA","LF","TOT","THND_PER","Q","1973-Q3",89650.34,
"USA","LF","TOT","THND_PER","Q","1973-Q4",90579,
"USA","LF","TOT","THND_PER","Q","1974-Q1",91379,
"USA","LF","TOT","THND_PER","Q","1974-Q2",91583.66,
"USA","LF","TOT","THND_PER","Q","1974-Q3",92253,
"USA","LF","TOT","THND_PER","Q","1974-Q4",92688,
"USA","LF","TOT","THND_PER","Q","1975-Q1",93023,
"USA","LF","TOT","THND_PER","Q","1975-Q2",93619.34,
"USA","LF","TOT","THND_PER","Q","1975-Q3",94128.34,
"USA","LF","TOT","THND_PER","Q","1975-Q4",94308.66,
"USA","LF","TOT","THND_PER","Q","1976-Q1",95049,
"USA","LF","TOT","THND_PER","Q","1976-Q2",95826,
"USA","LF","TOT","THND_PER","Q","1976-Q3",96625.66,
"USA","LF","TOT","THND_PER","Q","1976-Q4",97102,
"USA","LF","TOT","THND_PER","Q","1977-Q1",97702.66,
"USA","LF","TOT","THND_PER","Q","1977-Q2",98696,
"USA","LF","TOT","THND_PER","Q","1977-Q3",99244,
"USA","LF","TOT","THND_PER","Q","1977-Q4",100294,
"USA","LF","TOT","THND_PER","Q","1978-Q1",100934,
"USA","LF","TOT","THND_PER","Q","1978-Q2",101947,
"USA","LF","TOT","THND_PER","Q","1978-Q3",102568.3,
"USA","LF","TOT","THND_PER","Q","1978-Q4",103483.7,
"USA","LF","TOT","THND_PER","Q","1979-Q1",104382.7,
"USA","LF","TOT","THND_PER","Q","1979-Q2",104327,
"USA","LF","TOT","THND_PER","Q","1979-Q3",105209.3,
"USA","LF","TOT","THND_PER","Q","1979-Q4",105923.3,
"USA","LF","TOT","THND_PER","Q","1980-Q1",106567,
"USA","LF","TOT","THND_PER","Q","1980-Q2",106766.7,
"USA","LF","TOT","THND_PER","Q","1980-Q3",107120.7,
"USA","LF","TOT","THND_PER","Q","1980-Q4",107441.7,
"USA","LF","TOT","THND_PER","Q","1981-Q1",108273.7,
"USA","LF","TOT","THND_PER","Q","1981-Q2",108847.7,
"USA","LF","TOT","THND_PER","Q","1981-Q3",108525,
"USA","LF","TOT","THND_PER","Q","1981-Q4",109057.3,
"USA","LF","TOT","THND_PER","Q","1982-Q1",109374.3,
"USA","LF","TOT","THND_PER","Q","1982-Q2",110117.3,
"USA","LF","TOT","THND_PER","Q","1982-Q3",110525.7,
"USA","LF","TOT","THND_PER","Q","1982-Q4",110959,
"USA","LF","TOT","THND_PER","Q","1983-Q1",110638.7,
"USA","LF","TOT","THND_PER","Q","1983-Q2",111167.7,
"USA","LF","TOT","THND_PER","Q","1983-Q3",112095,
"USA","LF","TOT","THND_PER","Q","1983-Q4",112160.3,
"USA","LF","TOT","THND_PER","Q","1984-Q1",112512.3,
"USA","LF","TOT","THND_PER","Q","1984-Q2",113521.3,
"USA","LF","TOT","THND_PER","Q","1984-Q3",113837,
"USA","LF","TOT","THND_PER","Q","1984-Q4",114256.7,
"USA","LF","TOT","THND_PER","Q","1985-Q1",114976.3,
"USA","LF","TOT","THND_PER","Q","1985-Q2",115176.7,
"USA","LF","TOT","THND_PER","Q","1985-Q3",115505.3,
