"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMP","MEN","PC_EMP","A","1965",17.83953,
"AUS","SELFEMP","MEN","PC_EMP","A","1966",17.13011,
"AUS","SELFEMP","MEN","PC_EMP","A","1967",16.43956,
"AUS","SELFEMP","MEN","PC_EMP","A","1968",16.03339,
"AUS","SELFEMP","MEN","PC_EMP","A","1969",15.41714,
"AUS","SELFEMP","MEN","PC_EMP","A","1970",15.47962,
"AUS","SELFEMP","MEN","PC_EMP","A","1971",15.40121,
"AUS","SELFEMP","MEN","PC_EMP","A","1972",15.51151,
"AUS","SELFEMP","MEN","PC_EMP","A","1973",15.52738,
"AUS","SELFEMP","MEN","PC_EMP","A","1974",15.9483,
"AUS","SELFEMP","MEN","PC_EMP","A","1975",15.97494,
"AUS","SELFEMP","MEN","PC_EMP","A","1976",17.00751,
"AUS","SELFEMP","MEN","PC_EMP","A","1977",17.65919,"B"
"AUS","SELFEMP","MEN","PC_EMP","A","1978",17.12917,"B"
"AUS","SELFEMP","MEN","PC_EMP","A","1979",17.6967,
"AUS","SELFEMP","MEN","PC_EMP","A","1980",17.79001,
"AUS","SELFEMP","MEN","PC_EMP","A","1981",17.24004,
"AUS","SELFEMP","MEN","PC_EMP","A","1982",17.33805,
"AUS","SELFEMP","MEN","PC_EMP","A","1983",17.36829,
"AUS","SELFEMP","MEN","PC_EMP","A","1984",17.65301,
"AUS","SELFEMP","MEN","PC_EMP","A","1985",16.89562,"B"
"AUS","SELFEMP","MEN","PC_EMP","A","1986",16.99351,
"AUS","SELFEMP","MEN","PC_EMP","A","1987",16.83304,
"AUS","SELFEMP","MEN","PC_EMP","A","1988",16.8992,
"AUS","SELFEMP","MEN","PC_EMP","A","1989",16.43936,
"AUS","SELFEMP","MEN","PC_EMP","A","1990",16.44772,
"AUS","SELFEMP","MEN","PC_EMP","A","1991",17.05384,
"AUS","SELFEMP","MEN","PC_EMP","A","1992",17.29272,
"AUS","SELFEMP","MEN","PC_EMP","A","1993",17.70464,
"AUS","SELFEMP","MEN","PC_EMP","A","1994",17.12309,
"AUS","SELFEMP","MEN","PC_EMP","A","1995",16.86883,
"AUS","SELFEMP","MEN","PC_EMP","A","1996",16.49699,
"AUS","SELFEMP","MEN","PC_EMP","A","1997",16.19359,
"AUS","SELFEMP","MEN","PC_EMP","A","1998",15.99787,
"AUS","SELFEMP","MEN","PC_EMP","A","1999",16.06424,
"AUS","SELFEMP","MEN","PC_EMP","A","2000",15.98671,"B"
"AUS","SELFEMP","MEN","PC_EMP","A","2001",15.99328,
"AUS","SELFEMP","MEN","PC_EMP","A","2002",16.13658,
"AUS","SELFEMP","MEN","PC_EMP","A","2003",15.8563,
"AUS","SELFEMP","MEN","PC_EMP","A","2004",15.36583,
"AUS","SELFEMP","MEN","PC_EMP","A","2005",15.02157,
"AUS","SELFEMP","MEN","PC_EMP","A","2006",14.57553,
"AUS","SELFEMP","MEN","PC_EMP","A","2007",14.08298,
"AUS","SELFEMP","MEN","PC_EMP","A","2008",13.71566,
"AUS","SELFEMP","MEN","PC_EMP","A","2009",13.91933,
"AUS","SELFEMP","MEN","PC_EMP","A","2010",13.77405,
"AUS","SELFEMP","MEN","PC_EMP","A","2011",13.21983,
"AUS","SELFEMP","MEN","PC_EMP","A","2012",12.21731,
"AUS","SELFEMP","MEN","PC_EMP","A","2013",11.97417,
"AUS","SELFEMP","MEN","PC_EMP","A","2014",12.05827,
"AUS","SELFEMP","MEN","PC_EMP","A","2015",12.13246,
"AUS","SELFEMP","TOT","PC_EMP","A","1964",16.37193,
"AUS","SELFEMP","TOT","PC_EMP","A","1965",15.98876,
"AUS","SELFEMP","TOT","PC_EMP","A","1966",15.6108,"B"
"AUS","SELFEMP","TOT","PC_EMP","A","1967",14.77273,
"AUS","SELFEMP","TOT","PC_EMP","A","1968",14.38699,
"AUS","SELFEMP","TOT","PC_EMP","A","1969",13.9178,
"AUS","SELFEMP","TOT","PC_EMP","A","1970",13.86549,
