"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1983",4.39,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1984",12.42,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1985",5.37,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1986",11.18,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1987",5.61,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1988",9.9,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1991",5.34,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1992",6.52,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1993",8.28,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1994",8.59,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","1999",5.41,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2000",24.04,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2001",18.18,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2009",12.53,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2010",10.5,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2011",13.97,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2012",24.67,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2013",23.56,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2014",23.8,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2015",5.3,
"LUX","TEMPEMP","65MORE","PC_DEPEMP","A","2016",21.05,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1984",12.45,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1985",12.27,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1986",11.29,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1987",11.07,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1988",11.49,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1989",9.99,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1990",10.79,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1991",11.94,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1992",10.99,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1993",10.66,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1994",11.96,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1995",12.09,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1996",11.24,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1997",11.09,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1998",10.11,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1999",10.16,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2000",9.74,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2001",9.16,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2002",9.07,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2003",9.26,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2004",9.45,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2005",9.84,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2006",8.93,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2007",9.05,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2008",8.53,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2009",8.71,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2010",8.43,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2011",8.84,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2012",8.54,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2013",8.76,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2014",8.5,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2015",8.63,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2016",13.61,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","1994",4.42,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","1995",6.45,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","1996",8.4,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","1997",8.7,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","1998",8.03,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","1999",7.07,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2000",10.52,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2001",11.95,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2002",12.38,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2003",11.54,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2004",11.93,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2005",12.79,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2006",14.26,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2007",13.66,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2008",12.61,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2009",12.52,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2010",17.11,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2011",18.68,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2012",19.05,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2013",21.29,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2014",28.16,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2015",29.1,
"SVK","TEMPEMP","15_24","PC_DEPEMP","A","2016",25.4,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1983",2.81,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1984",3.03,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1985",3.38,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1986",3.61,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1987",3.84,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1988",3.99,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1989",4.16,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1990",3.61,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1991",4.18,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1992",4.2,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1993",4.93,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1994",5.08,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1995",5.56,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1996",6.42,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1997",6.47,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1998",6.6,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","1999",6.32,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2000",6.35,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2001",6.2,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2002",5.64,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2003",5.43,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2004",5.56,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2005",5.38,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2006",4.87,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2007",5,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2008",4.85,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2009",4.77,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2010",4.99,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2011",5.15,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2012",5.01,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2013",5.13,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2014",5.37,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2015",4.81,
"GBR","TEMPEMP","55_64","PC_DEPEMP","A","2016",5.05,
"EST","TEMPEMP","25_54","PC_DEPEMP","A","2000",2.6,
"EST","TEMPEMP","25_54","PC_DEPEMP","A","2001",2.42,
"EST","TEMPEMP","25_54","PC_DEPEMP","A","2002",2.44,
"EST","TEMPEMP","25_54","PC_DEPEMP","A","2003",1.84,
"EST","TEMPEMP","25_54","PC_DEPEMP","A","2004",2.13,
"EST","TEMPEMP","25_54","PC_DEPEMP","A","2005",2.1,
"EST","TEMPEMP","25_54","PC_DEPEMP","A","2006",2.05,
"EST","TEMPEMP","25_54","PC_DEPEMP","A","2007",1.63,
