"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1991",9.11924553,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1993",11.16990852,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1994",10.24990749,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1995",8.65349197,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1997",9.61398983,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1998",8.97452831,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1999",8.38860226,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",7.51240635,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2001",7.56001568,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",7.45337582,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",7.03673697,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",6.18440676,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",6.33901691,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",5.61274672,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",5.06745243,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",5.19098949,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",6.64923716,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",6.21588564,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",5.88013554,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",6.22856855,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",7.14322376,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",7.84932899,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",7.96726942,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1991",5.72658491,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1993",4.98839998,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1994",4.48689699,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1995",4.03898144,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1997",3.47984266,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1998",3.32679605,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1999",3.36472011,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2000",3.55612278,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2001",3.08540535,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2002",3.27453971,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2003",3.00896263,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2004",2.84957433,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2005",2.5065093,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2006",2.28695822,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2007",2.19585037,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2008",2.12847161,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2009",3.26504493,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2010",2.78039455,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2011",2.77356887,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2012",2.84703422,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2013",2.91021681,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2014",3.16976047,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2015",3.55101681,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1991",6.04416656,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1993",8.86912155,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1994",6.93278265,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1995",6.18480778,
