"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"AUS","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"AUT","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"AUT","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"BEL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"BEL","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"CAN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CAN","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"CZE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CZE","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"DNK","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"DNK","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"FIN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"FIN","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"FRA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"FRA","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"DEU","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"DEU","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"GRC","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"GRC","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0.5,
"HUN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"HUN","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"ISL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ISL","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"IRL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"IRL","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"ITA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ITA","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"JPN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"JPN","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"KOR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"KOR","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"LUX","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"LUX","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"MEX","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"MEX","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"NLD","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"NLD","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"NZL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"NZL","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"NOR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"NOR","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"POL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"POL","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"PRT","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"PRT","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"SVK","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SVK","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"ESP","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ESP","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"SWE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SWE","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0.5,
"CHE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CHE","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"TUR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"TUR","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"GBR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"GBR","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"USA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"USA","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"ALB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ALB","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0.5,
"DZA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"DZA","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",1,
"ARG","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ARG","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"ARM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ARM","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0.5,
"AZE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"AZE","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0.5,
"BGD","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"BGD","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",1,
"BLR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"BLR","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0.5,
"BIH","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"BIH","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"BRA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"BRA","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"BGR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"BGR","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"KHM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"KHM","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0.5,
"CHL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CHL","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"CHN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"CHN","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"COL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"COL","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"HRV","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"HRV","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"CYP","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CYP","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",0,
"EGY","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"EGY","DISCRIMFAMCODE","PARENTATYDIV","IDX","A","2014",1,
"EST","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
