"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTYGAP","TOT","RT","A","2012",0.271,
"AUS","POVERTYGAP","TOT","RT","A","2014",0.278,
"AUS","POVERTYGAP","18_65","RT","A","2012",0.323,
"AUS","POVERTYGAP","18_65","RT","A","2014",0.328,
"AUT","POVERTYGAP","TOT","RT","A","2007",0.28,
"AUT","POVERTYGAP","TOT","RT","A","2008",0.304,
"AUT","POVERTYGAP","TOT","RT","A","2009",0.328,
"AUT","POVERTYGAP","TOT","RT","A","2010",0.297,
"AUT","POVERTYGAP","TOT","RT","A","2011",0.328,
"AUT","POVERTYGAP","TOT","RT","A","2012",0.335,
"AUT","POVERTYGAP","TOT","RT","A","2013",0.28,
"AUT","POVERTYGAP","TOT","RT","A","2014",0.279,
"AUT","POVERTYGAP","18_65","RT","A","2007",0.284,
"AUT","POVERTYGAP","18_65","RT","A","2008",0.323,
"AUT","POVERTYGAP","18_65","RT","A","2009",0.334,
"AUT","POVERTYGAP","18_65","RT","A","2010",0.313,
"AUT","POVERTYGAP","18_65","RT","A","2011",0.342,
"AUT","POVERTYGAP","18_65","RT","A","2012",0.33,
"AUT","POVERTYGAP","18_65","RT","A","2013",0.287,
"AUT","POVERTYGAP","18_65","RT","A","2014",0.287,
"BEL","POVERTYGAP","TOT","RT","A","2004",0.207,
"BEL","POVERTYGAP","TOT","RT","A","2005",0.225,
"BEL","POVERTYGAP","TOT","RT","A","2006",0.226,
"BEL","POVERTYGAP","TOT","RT","A","2007",0.234,
"BEL","POVERTYGAP","TOT","RT","A","2008",0.22,
"BEL","POVERTYGAP","TOT","RT","A","2009",0.235,
"BEL","POVERTYGAP","TOT","RT","A","2010",0.228,
"BEL","POVERTYGAP","TOT","RT","A","2011",0.247,
"BEL","POVERTYGAP","TOT","RT","A","2012",0.224,
"BEL","POVERTYGAP","TOT","RT","A","2013",0.223,
"BEL","POVERTYGAP","TOT","RT","A","2014",0.218,
"BEL","POVERTYGAP","18_65","RT","A","2004",0.225,
"BEL","POVERTYGAP","18_65","RT","A","2005",0.254,
"BEL","POVERTYGAP","18_65","RT","A","2006",0.251,
"BEL","POVERTYGAP","18_65","RT","A","2007",0.261,
"BEL","POVERTYGAP","18_65","RT","A","2008",0.254,
"BEL","POVERTYGAP","18_65","RT","A","2009",0.249,
"BEL","POVERTYGAP","18_65","RT","A","2010",0.254,
"BEL","POVERTYGAP","18_65","RT","A","2011",0.249,
"BEL","POVERTYGAP","18_65","RT","A","2012",0.242,
"BEL","POVERTYGAP","18_65","RT","A","2013",0.247,
"BEL","POVERTYGAP","18_65","RT","A","2014",0.239,
"CAN","POVERTYGAP","TOT","RT","A","1976",0.324,
"CAN","POVERTYGAP","TOT","RT","A","1977",0.349,
"CAN","POVERTYGAP","TOT","RT","A","1978",0.33,
"CAN","POVERTYGAP","TOT","RT","A","1979",0.335,
"CAN","POVERTYGAP","TOT","RT","A","1980",0.325,
"CAN","POVERTYGAP","TOT","RT","A","1981",0.313,
"CAN","POVERTYGAP","TOT","RT","A","1982",0.307,
"CAN","POVERTYGAP","TOT","RT","A","1983",0.299,
"CAN","POVERTYGAP","TOT","RT","A","1984",0.322,
"CAN","POVERTYGAP","TOT","RT","A","1985",0.314,
"CAN","POVERTYGAP","TOT","RT","A","1986",0.307,
"CAN","POVERTYGAP","TOT","RT","A","1987",0.3,
"CAN","POVERTYGAP","TOT","RT","A","1988",0.296,
"CAN","POVERTYGAP","TOT","RT","A","1989",0.292,
"CAN","POVERTYGAP","TOT","RT","A","1990",0.301,
"CAN","POVERTYGAP","TOT","RT","A","1991",0.3,
"CAN","POVERTYGAP","TOT","RT","A","1992",0.304,
"CAN","POVERTYGAP","TOT","RT","A","1993",0.281,
"CAN","POVERTYGAP","TOT","RT","A","1994",0.294,
"CAN","POVERTYGAP","TOT","RT","A","1995",0.293,
"CAN","POVERTYGAP","TOT","RT","A","1996",0.301,
"CAN","POVERTYGAP","TOT","RT","A","1997",0.311,
"CAN","POVERTYGAP","TOT","RT","A","1998",0.307,
"CAN","POVERTYGAP","TOT","RT","A","1999",0.32,
"CAN","POVERTYGAP","TOT","RT","A","2000",0.306,
"CAN","POVERTYGAP","TOT","RT","A","2001",0.302,
"CAN","POVERTYGAP","TOT","RT","A","2002",0.302,
"CAN","POVERTYGAP","TOT","RT","A","2003",0.301,
"CAN","POVERTYGAP","TOT","RT","A","2004",0.298,
"CAN","POVERTYGAP","TOT","RT","A","2005",0.309,
"CAN","POVERTYGAP","TOT","RT","A","2006",0.3,
"CAN","POVERTYGAP","TOT","RT","A","2007",0.298,
"CAN","POVERTYGAP","TOT","RT","A","2008",0.304,
"CAN","POVERTYGAP","TOT","RT","A","2009",0.302,
"CAN","POVERTYGAP","TOT","RT","A","2010",0.291,
"CAN","POVERTYGAP","TOT","RT","A","2011",0.306,
"CAN","POVERTYGAP","TOT","RT","A","2012",0.317,
"CAN","POVERTYGAP","TOT","RT","A","2013",0.325,
"CAN","POVERTYGAP","TOT","RT","A","2014",0.312,
"CAN","POVERTYGAP","18_65","RT","A","1976",0.355,
"CAN","POVERTYGAP","18_65","RT","A","1977",0.372,
"CAN","POVERTYGAP","18_65","RT","A","1978",0.353,
"CAN","POVERTYGAP","18_65","RT","A","1979",0.36,
"CAN","POVERTYGAP","18_65","RT","A","1980",0.362,
"CAN","POVERTYGAP","18_65","RT","A","1981",0.34,
"CAN","POVERTYGAP","18_65","RT","A","1982",0.337,
"CAN","POVERTYGAP","18_65","RT","A","1983",0.327,
"CAN","POVERTYGAP","18_65","RT","A","1984",0.345,
"CAN","POVERTYGAP","18_65","RT","A","1985",0.336,
"CAN","POVERTYGAP","18_65","RT","A","1986",0.326,
"CAN","POVERTYGAP","18_65","RT","A","1987",0.319,
"CAN","POVERTYGAP","18_65","RT","A","1988",0.321,
"CAN","POVERTYGAP","18_65","RT","A","1989",0.319,
"CAN","POVERTYGAP","18_65","RT","A","1990",0.322,
"CAN","POVERTYGAP","18_65","RT","A","1991",0.317,
"CAN","POVERTYGAP","18_65","RT","A","1992",0.322,
"CAN","POVERTYGAP","18_65","RT","A","1993",0.3,
"CAN","POVERTYGAP","18_65","RT","A","1994",0.31,
"CAN","POVERTYGAP","18_65","RT","A","1995",0.311,
"CAN","POVERTYGAP","18_65","RT","A","1996",0.321,
"CAN","POVERTYGAP","18_65","RT","A","1997",0.33,
"CAN","POVERTYGAP","18_65","RT","A","1998",0.337,
"CAN","POVERTYGAP","18_65","RT","A","1999",0.354,
"CAN","POVERTYGAP","18_65","RT","A","2000",0.341,
"CAN","POVERTYGAP","18_65","RT","A","2001",0.329,
"CAN","POVERTYGAP","18_65","RT","A","2002",0.331,
"CAN","POVERTYGAP","18_65","RT","A","2003",0.328,
"CAN","POVERTYGAP","18_65","RT","A","2004",0.329,
"CAN","POVERTYGAP","18_65","RT","A","2005",0.341,
"CAN","POVERTYGAP","18_65","RT","A","2006",0.329,
"CAN","POVERTYGAP","18_65","RT","A","2007",0.332,
"CAN","POVERTYGAP","18_65","RT","A","2008",0.34,
"CAN","POVERTYGAP","18_65","RT","A","2009",0.336,
"CAN","POVERTYGAP","18_65","RT","A","2010",0.331,
"CAN","POVERTYGAP","18_65","RT","A","2011",0.344,
"CAN","POVERTYGAP","18_65","RT","A","2012",0.358,
"CAN","POVERTYGAP","18_65","RT","A","2013",0.372,
"CAN","POVERTYGAP","18_65","RT","A","2014",0.354,
"CZE","POVERTYGAP","TOT","RT","A","2004",0.231,
"CZE","POVERTYGAP","TOT","RT","A","2005",0.202,
"CZE","POVERTYGAP","TOT","RT","A","2006",0.222,
"CZE","POVERTYGAP","TOT","RT","A","2007",0.23,
"CZE","POVERTYGAP","TOT","RT","A","2008",0.227,
"CZE","POVERTYGAP","TOT","RT","A","2009",0.244,
"CZE","POVERTYGAP","TOT","RT","A","2010",0.236,
"CZE","POVERTYGAP","TOT","RT","A","2011",0.239,
"CZE","POVERTYGAP","TOT","RT","A","2012",0.249,
"CZE","POVERTYGAP","TOT","RT","A","2013",0.216,
"CZE","POVERTYGAP","TOT","RT","A","2014",0.236,
"CZE","POVERTYGAP","18_65","RT","A","2004",0.248,
"CZE","POVERTYGAP","18_65","RT","A","2005",0.21,
"CZE","POVERTYGAP","18_65","RT","A","2006",0.237,
"CZE","POVERTYGAP","18_65","RT","A","2007",0.239,
"CZE","POVERTYGAP","18_65","RT","A","2008",0.246,
"CZE","POVERTYGAP","18_65","RT","A","2009",0.248,
"CZE","POVERTYGAP","18_65","RT","A","2010",0.247,
"CZE","POVERTYGAP","18_65","RT","A","2011",0.253,
"CZE","POVERTYGAP","18_65","RT","A","2012",0.262,
"CZE","POVERTYGAP","18_65","RT","A","2013",0.22,
"CZE","POVERTYGAP","18_65","RT","A","2014",0.25,
"DNK","POVERTYGAP","TOT","RT","A","2011",0.294,
"DNK","POVERTYGAP","TOT","RT","A","2012",0.305,
"DNK","POVERTYGAP","TOT","RT","A","2013",0.308,
"DNK","POVERTYGAP","TOT","RT","A","2014",0.307,
"DNK","POVERTYGAP","18_65","RT","A","2011",0.351,
