"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTY","0_17","RT","A","2012",0.129,
"AUS","POVERTY","0_17","RT","A","2014",0.13,
"AUS","POVERTY","TOT","RT","A","2012",0.14,
"AUS","POVERTY","TOT","RT","A","2014",0.128,
"AUS","POVERTY","18_65","RT","A","2012",0.107,
"AUS","POVERTY","18_65","RT","A","2014",0.102,
"AUT","POVERTY","0_17","RT","A","2007",0.097,
"AUT","POVERTY","0_17","RT","A","2008",0.097,
"AUT","POVERTY","0_17","RT","A","2009",0.109,
"AUT","POVERTY","0_17","RT","A","2010",0.1,
"AUT","POVERTY","0_17","RT","A","2011",0.091,
"AUT","POVERTY","0_17","RT","A","2012",0.104,
"AUT","POVERTY","0_17","RT","A","2013",0.104,
"AUT","POVERTY","0_17","RT","A","2014",0.106,
"AUT","POVERTY","TOT","RT","A","2007",0.097,
"AUT","POVERTY","TOT","RT","A","2008",0.092,
"AUT","POVERTY","TOT","RT","A","2009",0.096,
"AUT","POVERTY","TOT","RT","A","2010",0.089,
"AUT","POVERTY","TOT","RT","A","2011",0.091,
"AUT","POVERTY","TOT","RT","A","2012",0.096,
"AUT","POVERTY","TOT","RT","A","2013",0.09,
"AUT","POVERTY","TOT","RT","A","2014",0.09,
"AUT","POVERTY","18_65","RT","A","2007",0.088,
"AUT","POVERTY","18_65","RT","A","2008",0.082,
"AUT","POVERTY","18_65","RT","A","2009",0.087,
"AUT","POVERTY","18_65","RT","A","2010",0.079,
"AUT","POVERTY","18_65","RT","A","2011",0.087,
"AUT","POVERTY","18_65","RT","A","2012",0.09,
"AUT","POVERTY","18_65","RT","A","2013",0.084,
"AUT","POVERTY","18_65","RT","A","2014",0.086,
"BEL","POVERTY","0_17","RT","A","2004",0.098,
"BEL","POVERTY","0_17","RT","A","2005",0.094,
"BEL","POVERTY","0_17","RT","A","2006",0.11,
"BEL","POVERTY","0_17","RT","A","2007",0.102,
"BEL","POVERTY","0_17","RT","A","2008",0.112,
"BEL","POVERTY","0_17","RT","A","2009",0.129,
"BEL","POVERTY","0_17","RT","A","2010",0.133,
"BEL","POVERTY","0_17","RT","A","2011",0.11,
"BEL","POVERTY","0_17","RT","A","2012",0.114,
"BEL","POVERTY","0_17","RT","A","2013",0.125,
"BEL","POVERTY","0_17","RT","A","2014",0.109,
"BEL","POVERTY","TOT","RT","A","2004",0.086,
"BEL","POVERTY","TOT","RT","A","2005",0.092,
"BEL","POVERTY","TOT","RT","A","2006",0.101,
"BEL","POVERTY","TOT","RT","A","2007",0.092,
"BEL","POVERTY","TOT","RT","A","2008",0.094,
"BEL","POVERTY","TOT","RT","A","2009",0.098,
"BEL","POVERTY","TOT","RT","A","2010",0.099,
"BEL","POVERTY","TOT","RT","A","2011",0.097,
"BEL","POVERTY","TOT","RT","A","2012",0.1,
"BEL","POVERTY","TOT","RT","A","2013",0.098,
"BEL","POVERTY","TOT","RT","A","2014",0.091,
"BEL","POVERTY","18_65","RT","A","2004",0.069,
"BEL","POVERTY","18_65","RT","A","2005",0.076,
"BEL","POVERTY","18_65","RT","A","2006",0.083,
"BEL","POVERTY","18_65","RT","A","2007",0.077,
"BEL","POVERTY","18_65","RT","A","2008",0.081,
"BEL","POVERTY","18_65","RT","A","2009",0.082,
"BEL","POVERTY","18_65","RT","A","2010",0.085,
"BEL","POVERTY","18_65","RT","A","2011",0.089,
"BEL","POVERTY","18_65","RT","A","2012",0.096,
"BEL","POVERTY","18_65","RT","A","2013",0.092,
"BEL","POVERTY","18_65","RT","A","2014",0.088,
"CAN","POVERTY","0_17","RT","A","1976",0.143,
"CAN","POVERTY","0_17","RT","A","1977",0.146,
"CAN","POVERTY","0_17","RT","A","1978",0.139,
"CAN","POVERTY","0_17","RT","A","1979",0.143,
"CAN","POVERTY","0_17","RT","A","1980",0.144,
"CAN","POVERTY","0_17","RT","A","1981",0.147,
"CAN","POVERTY","0_17","RT","A","1982",0.154,
"CAN","POVERTY","0_17","RT","A","1983",0.163,
"CAN","POVERTY","0_17","RT","A","1984",0.167,
"CAN","POVERTY","0_17","RT","A","1985",0.16,
"CAN","POVERTY","0_17","RT","A","1986",0.152,
"CAN","POVERTY","0_17","RT","A","1987",0.154,
"CAN","POVERTY","0_17","RT","A","1988",0.143,
"CAN","POVERTY","0_17","RT","A","1989",0.139,
"CAN","POVERTY","0_17","RT","A","1990",0.159,
"CAN","POVERTY","0_17","RT","A","1991",0.157,
"CAN","POVERTY","0_17","RT","A","1992",0.155,
"CAN","POVERTY","0_17","RT","A","1993",0.16,
"CAN","POVERTY","0_17","RT","A","1994",0.15,
"CAN","POVERTY","0_17","RT","A","1995",0.157,
"CAN","POVERTY","0_17","RT","A","1996",0.169,
"CAN","POVERTY","0_17","RT","A","1997",0.161,
"CAN","POVERTY","0_17","RT","A","1998",0.161,
"CAN","POVERTY","0_17","RT","A","1999",0.147,
"CAN","POVERTY","0_17","RT","A","2000",0.15,
"CAN","POVERTY","0_17","RT","A","2001",0.147,
"CAN","POVERTY","0_17","RT","A","2002",0.154,
"CAN","POVERTY","0_17","RT","A","2003",0.156,
"CAN","POVERTY","0_17","RT","A","2004",0.166,
"CAN","POVERTY","0_17","RT","A","2005",0.15,
"CAN","POVERTY","0_17","RT","A","2006",0.162,
"CAN","POVERTY","0_17","RT","A","2007",0.168,
"CAN","POVERTY","0_17","RT","A","2008",0.156,
"CAN","POVERTY","0_17","RT","A","2009",0.163,
"CAN","POVERTY","0_17","RT","A","2010",0.157,
"CAN","POVERTY","0_17","RT","A","2011",0.157,
"CAN","POVERTY","0_17","RT","A","2012",0.168,
"CAN","POVERTY","0_17","RT","A","2013",0.171,
"CAN","POVERTY","0_17","RT","A","2014",0.15,
"CAN","POVERTY","TOT","RT","A","1976",0.131,
"CAN","POVERTY","TOT","RT","A","1977",0.139,
"CAN","POVERTY","TOT","RT","A","1978",0.132,
"CAN","POVERTY","TOT","RT","A","1979",0.133,
"CAN","POVERTY","TOT","RT","A","1980",0.131,
"CAN","POVERTY","TOT","RT","A","1981",0.123,
"CAN","POVERTY","TOT","RT","A","1982",0.125,
"CAN","POVERTY","TOT","RT","A","1983",0.132,
"CAN","POVERTY","TOT","RT","A","1984",0.133,
"CAN","POVERTY","TOT","RT","A","1985",0.124,
"CAN","POVERTY","TOT","RT","A","1986",0.119,
"CAN","POVERTY","TOT","RT","A","1987",0.12,
"CAN","POVERTY","TOT","RT","A","1988",0.114,
"CAN","POVERTY","TOT","RT","A","1989",0.109,
"CAN","POVERTY","TOT","RT","A","1990",0.119,
"CAN","POVERTY","TOT","RT","A","1991",0.118,
"CAN","POVERTY","TOT","RT","A","1992",0.121,
"CAN","POVERTY","TOT","RT","A","1993",0.119,
"CAN","POVERTY","TOT","RT","A","1994",0.117,
"CAN","POVERTY","TOT","RT","A","1995",0.118,
