"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.1021,
"AUS","SIGI","RESTRCIVLIB","IDX","A","2014",0.1951,
"AUS","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"AUT","SIGI","DISCRIMFAMCODE","IDX","A","2014",0,
"AUT","SIGI","RESTRCIVLIB","IDX","A","2014",0.1951,
"AUT","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"AUT","SIGI","SONBIAS","IDX","A","2014",0.1052,
"BEL","SIGI","TOT","IDX","A","2014",0.0016,
"BEL","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.0038,
"BEL","SIGI","RESTRCIVLIB","IDX","A","2014",0,
"BEL","SIGI","RESTRPHYSINTEG","IDX","A","2014",0.0316,
"BEL","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"BEL","SIGI","SONBIAS","IDX","A","2014",0.0824,
"CAN","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.0194,
"CAN","SIGI","RESTRCIVLIB","IDX","A","2014",0.1951,
"CAN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"CZE","SIGI","TOT","IDX","A","2014",0.0283,
"CZE","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.0013,
"CZE","SIGI","RESTRCIVLIB","IDX","A","2014",0.3539,
"CZE","SIGI","RESTRPHYSINTEG","IDX","A","2014",0.0956,
"CZE","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"CZE","SIGI","SONBIAS","IDX","A","2014",0.0855,
"DNK","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.0006,
"DNK","SIGI","RESTRCIVLIB","IDX","A","2014",0.1951,
"DNK","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"DNK","SIGI","SONBIAS","IDX","A","2014",0.0955,
"FIN","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.0031,
"FIN","SIGI","RESTRCIVLIB","IDX","A","2014",0.1951,
"FIN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"FIN","SIGI","SONBIAS","IDX","A","2014",0.0759,
"FRA","SIGI","TOT","IDX","A","2014",0.0034,
"FRA","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.1002,
"FRA","SIGI","RESTRCIVLIB","IDX","A","2014",0,
"FRA","SIGI","RESTRPHYSINTEG","IDX","A","2014",0,
"FRA","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"FRA","SIGI","SONBIAS","IDX","A","2014",0.0828,
"DEU","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.0019,
"DEU","SIGI","RESTRCIVLIB","IDX","A","2014",0.1951,
"DEU","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"DEU","SIGI","SONBIAS","IDX","A","2014",0.0905,
"GRC","SIGI","DISCRIMFAMCODE","IDX","A","2014",0.3889,
"GRC","SIGI","RESTRCIVLIB","IDX","A","2014",0.1951,
"GRC","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"GRC","SIGI","SONBIAS","IDX","A","2014",0.0872,
"HUN","SIGI","RESTRCIVLIB","IDX","A","2014",0.5399,
"HUN","SIGI","RESTRPHYSINTEG","IDX","A","2014",0.119,
"HUN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"HUN","SIGI","SONBIAS","IDX","A","2014",0.0948,
