"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0.25,
"AUS","VIOLWOMEN","LAWRAPE","IDX","A","2014",0,
"AUS","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0.5,
"AUT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0,
"AUT","VIOLWOMEN","LAWRAPE","IDX","A","2014",0,
"AUT","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0,
"BEL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0,
"BEL","VIOLWOMEN","LAWRAPE","IDX","A","2014",0,
"BEL","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0,
"CAN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0,
"CAN","VIOLWOMEN","LAWRAPE","IDX","A","2014",0,
"CAN","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0,
"CZE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0,
"CZE","VIOLWOMEN","LAWRAPE","IDX","A","2014",0.75,
"CZE","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0.25,
"DNK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0,
"DNK","VIOLWOMEN","LAWRAPE","IDX","A","2014",0.25,
"DNK","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0,
"FIN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0.25,
"FIN","VIOLWOMEN","LAWRAPE","IDX","A","2014",0,
"FIN","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0,
"FRA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0,
"FRA","VIOLWOMEN","LAWRAPE","IDX","A","2014",0,
"FRA","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0,
"DEU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0.5,
"DEU","VIOLWOMEN","LAWRAPE","IDX","A","2014",0,
"DEU","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0.25,
"GRC","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0.25,
"GRC","VIOLWOMEN","LAWRAPE","IDX","A","2014",0,
"GRC","VIOLWOMEN","LAWSEXHARASS","IDX","A","2014",0,
"HUN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2014",0.5,
