"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"AUT","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"BEL","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"CAN","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"CZE","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"DNK","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"FIN","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"FRA","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"DEU","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"GRC","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"HUN","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"ISL","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"IRL","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"ITA","WOMENPOLVOICE","QUOTA","IDX","A","2014",0.5,
"JPN","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"KOR","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"LUX","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"MEX","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"NLD","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"NZL","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"NOR","WOMENPOLVOICE","QUOTA","IDX","A","2014",0.5,
"POL","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"PRT","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"SVK","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"ESP","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"SWE","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"CHE","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"TUR","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"GBR","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"USA","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"ALB","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"DZA","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"ARG","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"ARM","WOMENPOLVOICE","QUOTA","IDX","A","2014",0.5,
"AZE","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"BGD","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"BLR","WOMENPOLVOICE","QUOTA","IDX","A","2014",0.5,
"BIH","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"BRA","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"BGR","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"KHM","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"CHL","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"CHN","WOMENPOLVOICE","QUOTA","IDX","A","2014",0.5,
"COL","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"HRV","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"CYP","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"EGY","WOMENPOLVOICE","QUOTA","IDX","A","2014",0,
"EST","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
"ETH","WOMENPOLVOICE","QUOTA","IDX","A","2014",1,
