"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2000",79.1,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2001",79.6,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2002",79.4,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2003",79.2,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2004",79.8,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2005",80.8,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2006",81,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2007",81.3,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2008",82,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2009",82,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2010",82.2,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2011",83.1,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2012",82.7,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2013",82.6,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2014",82.4,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2015",83.6,
"AUS","FBORNPARTICIP","MEN","PC_FBORNLF","A","2016",83.2,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2000",69,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2001",69,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2002",69.2,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2003",69.3,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2004",69.9,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2005",71.2,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2006",71.5,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2007",72.1,
