"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2000",84.1,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2001",83.7,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2002",83.6,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2003",83.6,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2004",83.8,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2005",84,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2006",84.2,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2007",84.2,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2008",84.1,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2009",83.5,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2010",83.6,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2011",83.2,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2012",82.8,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2013",82.9,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2014",82.3,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2015",82.9,
"AUS","NBORNPARTICIP","MEN","PC_NBORNLF","A","2016",82.5,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2000",76,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2001",76.2,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2002",76.3,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2003",76.8,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2004",76.6,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2005",77.4,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2006",77.9,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2007",78.2,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2008",78.3,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2009",78.1,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2010",78,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2011",77.9,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2012",77.8,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2013",77.7,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2014",77.6,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2015",78.3,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2016",78.3,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2000",67.9,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2001",68.9,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2002",68.9,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2003",70,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2004",69.4,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2005",70.7,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2006",71.6,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2007",72.1,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2008",72.4,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2009",72.6,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2010",72.3,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2011",72.5,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2012",72.7,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2013",72.6,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2014",72.7,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2015",73.7,
"AUS","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2016",74.1,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2000",79.6,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2001",78.5,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2002",79,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2003",78.9,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2004",76.7,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2005",79.2,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2006",80.5,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2007",81.6,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2008",81.5,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2009",80.9,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2010",80.9,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2011",81,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2012",80,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2013",80.3,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2014",80.1,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2015",80,
"AUT","NBORNPARTICIP","MEN","PC_NBORNLF","A","2016",80.7,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2000",71.1,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2001",70.5,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2002",71.5,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2003",71.3,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2004",70.4,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2005",72.9,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2006",74.4,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2007",75.4,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2008",76,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2009",76.1,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2010",75.7,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2011",75.9,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2012",75.8,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2013",76.2,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2014",76.1,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2015",76.3,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2016",77.1,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2000",62.5,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2001",62.5,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2002",64,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2003",63.8,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2004",64.1,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2005",66.6,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2006",68.3,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2007",69.1,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2008",70.3,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2009",71.1,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2010",70.4,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2011",70.7,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2012",71.5,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2013",72.2,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2014",72.2,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2015",72.6,
"AUT","NBORNPARTICIP","WOMEN","PC_NBORNLF","A","2016",73.4,
"BEL","NBORNPARTICIP","MEN","PC_NBORNLF","A","2000",73.9,
"BEL","NBORNPARTICIP","MEN","PC_NBORNLF","A","2001",72.9,
"BEL","NBORNPARTICIP","MEN","PC_NBORNLF","A","2002",72.8,
"BEL","NBORNPARTICIP","MEN","PC_NBORNLF","A","2003",72.9,
