"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","NATAREADIST","INTMD","PC","A","2014",20.2,
"BEL","NATAREADIST","RURAL","PC","A","2014",14.6,
"CZE","NATAREADIST","INTMD","PC","A","2014",90.7,
"DNK","NATAREADIST","RURAL","PC","A","2014",71.7,
"GRC","NATAREADIST","URBAN","PC","A","2014",2.9,
"IRL","NATAREADIST","URBAN","PC","A","2014",1.3,
"KOR","NATAREADIST","URBAN","PC","A","2014",15.5,
"NLD","NATAREADIST","URBAN","PC","A","2014",65.9,
"ESP","NATAREADIST","INTMD","PC","A","2014",40.2,
"TUR","NATAREADIST","INTMD","PC","A","2014",27.9,
"GBR","NATAREADIST","RURAL","PC","A","2014",24.1,
"CHL","NATAREADIST","INTMD","PC","A","2014",6.5,
"AUS","NATAREADIST","INTMD","PC","A","2014",3.4,
"AUT","NATAREADIST","RURAL","PC","A","2014",78.5,
"DNK","NATAREADIST","URBAN","PC","A","2014",4.6,
"DEU","NATAREADIST","URBAN","PC","A","2014",27.3,
"ISL","NATAREADIST","URBAN","PC","A","2014",0,
"JPN","NATAREADIST","URBAN","PC","A","2014",15.1,
"NOR","NATAREADIST","INTMD","PC","A","2014",15.7,
"SVK","NATAREADIST","INTMD","PC","A","2014",63.6,
"ESP","NATAREADIST","RURAL","PC","A","2014",45.4,
"CHE","NATAREADIST","INTMD","PC","A","2014",49,
"TUR","NATAREADIST","RURAL","PC","A","2014",51.1,
"USA","NATAREADIST","INTMD","PC","A","2014",9.5,
"CHL","NATAREADIST","RURAL","PC","A","2014",91.6,
"BEL","NATAREADIST","URBAN","PC","A","2014",60.6,
"ISL","NATAREADIST","INTMD","PC","A","2014",1,
"IRL","NATAREADIST","RURAL","PC","A","2014",98.7,
"JPN","NATAREADIST","INTMD","PC","A","2014",53.7,
"KOR","NATAREADIST","RURAL","PC","A","2014",58.3,
"MEX","NATAREADIST","INTMD","PC","A","2014",11,
"NLD","NATAREADIST","RURAL","PC","A","2014",0,
"POL","NATAREADIST","RURAL","PC","A","2014",72.2,
"SWE","NATAREADIST","URBAN","PC","A","2014",1.6,
