"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","URBANPOP","METROP","PC","A","2014",52.2,
"GRC","URBANPOP","MURBAN","PC","A","2014",3.9,
"GRC","URBANPOP","METROP","PC","A","2014",17.4,
"IRL","URBANPOP","MURBAN","PC","A","2014",14,
"IRL","URBANPOP","METROP","PC","A","2014",67.8,
"KOR","URBANPOP","MURBAN","PC","A","2014",9.3,
"KOR","URBANPOP","METROP","PC","A","2014",16.3,
"LUX","URBANPOP","LMETROP","PC","A","2012",0,
"NLD","URBANPOP","MURBAN","PC","A","2014",28.5,
"NLD","URBANPOP","SURBAN","PC","A","2014",21.5,
"POL","URBANPOP","SURBAN","PC","A","2014",20.3,
"PRT","URBANPOP","LMETROP","PC","A","2012",48.56,
"ESP","URBANPOP","SURBAN","PC","A","2014",20.9,
"SWE","URBANPOP","LMETROP","PC","A","2012",39.37,
"EST","URBANPOP","LMETROP","PC","A","2012",0,
"BEL","URBANPOP","METROP","PC","A","2014",36.4,
"DNK","URBANPOP","MURBAN","PC","A","2014",34.3,
"DNK","URBANPOP","METROP","PC","A","2014",0,
"DEU","URBANPOP","MURBAN","PC","A","2014",29.7,
"DEU","URBANPOP","METROP","PC","A","2014",29.1,
"IRL","URBANPOP","LMETROP","PC","A","2012",0,
"JPN","URBANPOP","MURBAN","PC","A","2014",11.4,
"JPN","URBANPOP","SURBAN","PC","A","2014",1,
"KOR","URBANPOP","LMETROP","PC","A","2012",68.35,
"MEX","URBANPOP","SURBAN","PC","A","2014",3.1,
"NLD","URBANPOP","LMETROP","PC","A","2012",19.42,
"NOR","URBANPOP","SURBAN","PC","A","2014",9,
"POL","URBANPOP","LMETROP","PC","A","2012",26.62,
"SVK","URBANPOP","SURBAN","PC","A","2014",46,
"BEL","URBANPOP","MURBAN","PC","A","2014",17.5,
"BEL","URBANPOP","SURBAN","PC","A","2014",7.5,
"CAN","URBANPOP","LMETROP","PC","A","2012",52.35,
"DNK","URBANPOP","SURBAN","PC","A","2014",0,
"FIN","URBANPOP","LMETROP","PC","A","2012",0,
"DEU","URBANPOP","SURBAN","PC","A","2014",9.6,
"GRC","URBANPOP","LMETROP","PC","A","2012",64,
"PRT","URBANPOP","METROP","PC","A","2014",22.4,
"SWE","URBANPOP","MURBAN","PC","A","2014",4.7,
"SWE","URBANPOP","METROP","PC","A","2014",30.7,
