"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1980",1.232,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1985",1.288,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1988",1.586,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1989",1.709,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1990",1.838,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1991",2.032,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1992",2.215,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1993",2.215,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1994",2.268,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1995",2.177,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1996",2.1,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1997",2.02,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1998",2.139,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1999",2.123,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2000",1.822,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2001",1.89,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2002",1.906,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2003",1.859,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2004",1.712,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2005",1.545,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2006",1.381,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2007",1.319,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2008",1.224,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2009",1.381,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2010",1.332,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2011",1.27,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2012",1.222,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2013",1.203,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1980",2.936,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1981",2.997,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1982",2.956,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1983",2.737,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1984",2.608,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1985",2.545,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1986",2.521,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1987",2.401,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1988",2.289,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1989",2.173,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1990",2.211,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1991",2.2,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1992",2.21,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1993",2.305,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1994",2.184,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1995",2.226,
