"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2001",4.3383077522952,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2002",4.3224082007506,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2003",4.1452219883181,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2004",3.5595888442933,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2005",3.5820244305982,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2006",3.7741120940235,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2007",3.2549265519467,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2008",5.5493509116429,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2009",4.6470754523573,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2010",4.5009395621562,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2011",4.5375381375444,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2012",4.7829014133837,
"AUS","PENSIONEXP","PRIV","PC_GDP","A","2013",5.0709558027094,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1980",3.594,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1981",3.556,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1982",3.677,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1983",3.626,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1984",3.56,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1985",3.399,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1986",3.29,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1987",3.238,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1988",2.89,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1989",2.842,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1990",3.078,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1991",3.199,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1992",3.199,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1993",3.295,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1994",3.158,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1995",4.333,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1996",4.368,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1997",4.272,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1998",4.36,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1999",4.018,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2000",4.677,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2001",4.083,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2002",3.94,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2003",3.849,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2004",3.892,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2005",3.739,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2006",3.695,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2007",3.859,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2008",3.941,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2009",3.819,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2010",3.778,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2011",3.885,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2012",3.949,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2013",4.13,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2014",4.28,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2001",0.17307925597819,
