"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1980",0.917,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1981",0.886,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1982",0.951,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1983",0.991,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1984",1.022,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1985",1.038,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1986",1.048,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1987",1.046,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1988",1.004,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1989",1.169,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1990",1.731,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1991",1.616,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1992",2.173,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1993",2.314,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1994",2.267,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1995",2.358,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1996",2.401,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1997",2.393,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1998",2.6,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1999",2.573,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2000",2.559,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2001",2.539,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2002",2.527,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2003",2.464,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2004",2.357,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2005",2.269,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2006",2.189,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2007",2.168,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2008",2.318,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2009",2.36,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2010",2.394,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2011",2.464,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2012",2.507,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2013",2.571,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2014",2.636,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1980",0.902,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1981",0.87,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1982",0.925,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1983",0.958,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1984",1,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1985",1.017,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1986",1.022,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1987",1.025,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1988",0.983,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1989",1.148,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1990",1.708,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1991",1.589,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1992",1.816,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1993",1.938,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1994",1.899,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1995",2.001,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1996",2.039,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1997",2.021,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1998",2.093,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1999",2.068,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2000",2.059,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2001",2.035,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2002",2.003,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2003",1.942,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2004",1.914,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2005",1.828,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2006",1.737,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2007",1.766,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2008",1.9,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2009",1.913,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2010",1.95,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2011",2.004,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2012",2.033,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2013",2.093,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","2014",2.134,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1980",0.016,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1981",0.015,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1982",0.026,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1983",0.033,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1984",0.022,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1985",0.021,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1986",0.026,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1987",0.021,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1988",0.022,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1989",0.021,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1990",0.023,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1991",0.026,
"AUS","PUBEXPINCAPACITY","INKIND","PC_GDP","A","1992",0.357,
