"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1980",0.655,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1981",0.698,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1982",1.19,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1983",1.365,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1984",1.27,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1985",1.2,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1986",1.209,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1987",1.041,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1988",0.83,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1989",0.759,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1990",1.1,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1991",1.593,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1992",1.718,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1993",1.729,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1994",1.493,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1995",1.187,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1996",1.193,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1997",1.181,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1998",1.118,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1999",0.989,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2000",0.926,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2001",0.886,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2002",0.773,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2003",0.7,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2004",0.62,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.546,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.484,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.408,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.445,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0.543,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.505,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.512,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.571,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.631,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0.665,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1980",0.398,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1985",0.913,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1990",0.903,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1991",1.001,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1992",1.053,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1993",1.271,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1994",1.252,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1995",1.263,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1996",1.279,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1997",1.124,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1998",1.099,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1999",1.023,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2000",0.924,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2001",0.911,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2002",1.071,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2003",1.19,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2004",1.183,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2005",1.11,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2006",1.017,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.891,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.831,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2009",1.06,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2010",1,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.903,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.906,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.987,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1980",2.382,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1981",3.036,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1982",3.206,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1983",3.537,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1984",3.373,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1985",3.206,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1986",3.104,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1987",3.026,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1988",2.778,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1989",2.538,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1990",2.824,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1991",2.948,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1992",2.856,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1993",3.137,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1994",3.064,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1995",3.175,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1996",3.201,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1997",3.146,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1998",3.041,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1999",2.915,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2000",2.735,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2001",2.758,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2002",2.988,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2003",3.218,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2004",3.227,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2005",3.208,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2006",3.156,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2007",3.005,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2008",3.065,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2009",3.555,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2010",3.508,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2011",3.474,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2012",3.448,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2013",3.234,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","1980",1.2,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","1981",1.279,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","1982",2.259,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","1983",2.105,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","1984",1.953,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","1985",1.802,
