"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCBENHH","INCASH","PC_GDP","A","1970",3.47263533610946,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1971",3.66617993934629,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1972",4.14808565344904,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1973",4.17253783797225,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1974",5.03096953608899,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1975",5.76516643450694,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1976",6.59107458649745,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1977",7.0398384361842,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1978",6.75464987906522,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1979",6.4486634355208,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1980",6.35728451162974,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1981",6.34539569122943,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1982",7.22507170664455,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1983",7.42744551100544,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1984",7.25731043862632,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1985",7.03020069841513,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1986",6.8703810472247,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1987",6.66194210356037,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1988",6.15949701105989,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1989",6.15644258187587,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1990",7.0112939409403,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1991",7.95233979853506,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1992",8.21717213750846,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1993",8.4490914149954,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1994",8.19651315126474,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1995",8.23870180778628,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1996",8.24052572831389,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1997",7.8621431504223,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1998",7.81755233494364,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1999",7.95159595776362,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2000",8.45332147379334,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2001",8.28595597087353,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2002",8.03231589334657,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2003",8.42187425700431,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2004",8.12444126586805,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2005",7.79962702487235,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2006",7.54386448907526,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2007",7.40136866956394,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2008",8.94407915634331,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2009",7.69613751899796,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2010",7.55096629283586,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2011",7.6140563274724,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2012",7.71389610279085,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2013",7.91551882460973,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2014",7.99868399570567,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2015",7.98657774898723,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1970",6.05542335911164,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1971",6.50791867909693,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1972",6.80969024948777,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1973",6.87963131807105,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1974",8.12792314498799,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1975",9.45890772851722,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1976",9.24269218766254,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1977",9.22228361308514,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1978",8.99299673855333,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1979",8.86161577116351,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1980",9.05491128301441,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1981",9.00723058806128,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1982",9.36227306101535,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1983",9.52744223487951,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1984",10.0709792587555,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1985",10.1227982654745,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1986",10.2185649143037,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1987",9.81065799812045,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1988",9.38000532091064,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1989",9.22638609531058,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1990",9.85403568230616,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1991",10.3429059877496,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1992",10.2119131113505,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1993",10.057147749406,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1994",10.0253955457019,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1995",9.96925970264238,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1996",9.92757238275376,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1997",9.97566992538098,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1998",10.7066022544283,
"AUS","SOCBENHH","INKIND","PC_GDP","A","1999",10.4683945186428,
"AUS","SOCBENHH","INKIND","PC_GDP","A","2000",10.5631109764008,
