"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PRIV","PC_GDP","A","1980",1.01,
"AUS","SOCEXP","PRIV","PC_GDP","A","1981",1.193,
"AUS","SOCEXP","PRIV","PC_GDP","A","1982",1.409,
"AUS","SOCEXP","PRIV","PC_GDP","A","1983",1.11,
"AUS","SOCEXP","PRIV","PC_GDP","A","1984",0.62,
"AUS","SOCEXP","PRIV","PC_GDP","A","1985",0.679,
"AUS","SOCEXP","PRIV","PC_GDP","A","1986",0.762,
"AUS","SOCEXP","PRIV","PC_GDP","A","1987",0.783,
"AUS","SOCEXP","PRIV","PC_GDP","A","1988",0.757,
"AUS","SOCEXP","PRIV","PC_GDP","A","1989",0.775,
"AUS","SOCEXP","PRIV","PC_GDP","A","1990",0.852,
"AUS","SOCEXP","PRIV","PC_GDP","A","1991",0.988,
"AUS","SOCEXP","PRIV","PC_GDP","A","1992",1.017,
"AUS","SOCEXP","PRIV","PC_GDP","A","1993",1.148,
"AUS","SOCEXP","PRIV","PC_GDP","A","1994",1.135,
"AUS","SOCEXP","PRIV","PC_GDP","A","1995",2.824,
"AUS","SOCEXP","PRIV","PC_GDP","A","1996",3.038,
"AUS","SOCEXP","PRIV","PC_GDP","A","1997",3.301,
"AUS","SOCEXP","PRIV","PC_GDP","A","1998",3.076,
"AUS","SOCEXP","PRIV","PC_GDP","A","1999",3.47,
"AUS","SOCEXP","PRIV","PC_GDP","A","2000",3.122,
"AUS","SOCEXP","PRIV","PC_GDP","A","2001",3.357,
"AUS","SOCEXP","PRIV","PC_GDP","A","2002",3.365,
"AUS","SOCEXP","PRIV","PC_GDP","A","2003",2.781,
"AUS","SOCEXP","PRIV","PC_GDP","A","2004",2.059,
"AUS","SOCEXP","PRIV","PC_GDP","A","2005",2.106,
"AUS","SOCEXP","PRIV","PC_GDP","A","2006",2.073,
"AUS","SOCEXP","PRIV","PC_GDP","A","2007",2.613,
"AUS","SOCEXP","PRIV","PC_GDP","A","2008",2.419,
"AUS","SOCEXP","PRIV","PC_GDP","A","2009",2.302,
"AUS","SOCEXP","PRIV","PC_GDP","A","2010",2.243,
"AUS","SOCEXP","PRIV","PC_GDP","A","2011",2.277,
"AUS","SOCEXP","PRIV","PC_GDP","A","2012",2.328,
