INDICATOR	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	1996	1996	7948273.917		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	1998	1998	7864267.897		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	2000	2000	8926617.494		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	2002	2002	10510742.5		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	2004	2004	11928478.36		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	2006	2006	14929180.17		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	2008	2008	17678185.43		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	2010	2010	18221962.74		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	2011	2011	17576592.8		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUS	Australia	2013	2013	18241431.62		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	1996	1996	3682521.015		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	1997	1997	3940083.648		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	1998	1998	4271215.015		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	1999	1999	4712943.172		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2000	2000	4978021.981		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2001	2001	5329162.446		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2002	2002	5618094.507		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2003	2003	5968908.931		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2004	2004	6105126.662		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2005	2005	6836992.128		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2006	2006	7030244.596		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2007	2007	7473039.762		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2008	2008	8066516.129		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2009	2009	7844116.662		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2010	2010	8375566.969		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2011	2011	8433969.517		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2012	2012	9280139.724		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2013	2013	9414255.651		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2014	2014	9759750.076		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	AUT	Austria	2015	2015	9905578.968		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	1996	1996	4864803.623		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	1997	1997	5235308.912		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	1998	1998	5424578.956		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	1999	1999	5824436.287		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2000	2000	6137213.382		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2001	2001	6506673.371		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2002	2002	6193579.681		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2003	2003	6047134.433		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2004	2004	6188736.304		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2005	2005	6225193.656		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2006	2006	6495179.904		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2007	2007	6826394.572		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2008	2008	7175776.697		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2009	2009	7234968.508		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2010	2010	7674823.925		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2011	2011	8210924.743		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2012	2012	9011318.916		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2013	2013	9290100.771		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2014	2014	9547441.422		
EXPPPP_CONST	GERD in '000 PPP$ (in constant prices - 2005)	BEL	Belgium	2015	2015	9654873.194		
