INDICATOR	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUS	Australia	1996	1996	2047787.034		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUS	Australia	1998	1998	2104468.989		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUS	Australia	2000	2000	2304085.505		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUS	Australia	2002	2002	2478039.053		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUS	Australia	2004	2004	2698780.039		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUS	Australia	2006	2006	3220401.006		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUS	Australia	2008	2008	3548368.284		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUT	Austria	1998	1998	744799.1132		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUT	Austria	2002	2002	982194.142		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUT	Austria	2004	2004	1066613.675		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUT	Austria	2006	2006	1184367.114		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUT	Austria	2007	2007	1286245.112		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUT	Austria	2009	2009	1465050.94		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUT	Austria	2011	2011	1606560.303		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	AUT	Austria	2013	2013	1776683.566		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CZE	Czechia	1996	1996	296432.3679		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CZE	Czechia	1997	1997	314231.3809		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CZE	Czechia	1998	1998	330166.5763		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CZE	Czechia	1999	1999	382759.2974		
