EDULIT_IND	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2006	2006	76.78745		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2008	2008	78.32391		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2009	2009	79.42992		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2010	2010	79.64149		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2011	2011	80.10137		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2012	2012	80.29019		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2013	2013	81.58793		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2014	2014	82.34054		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	BEL	Belgium	2015	2015	84.35792		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	SEN	Senegal	2006	2006	7.54719		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	SEN	Senegal	2011	2011	10.84601		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	SEN	Senegal	2013	2013	13.88542		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2003	2003	59.26054		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2006	2006	47.1333		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2008	2008	51.16077		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2009	2009	49.75869		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2010	2010	49.49821		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2011	2011	51.21222		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2012	2012	52.46095		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2013	2013	52.31441		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2014	2014	53.38448		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	URY	Uruguay	2015	2015	54.10314		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	SUR	Suriname	2004	2004	50.60701		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	SUR	Suriname	2012	2012	61.80379		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KWT	Kuwait	2005	2005	43.57805		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KWT	Kuwait	2006	2006	44.80628		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KWT	Kuwait	2007	2007	46.27617		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KWT	Kuwait	2008	2008	48.88442		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KWT	Kuwait	2012	2012	56.03297		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KWT	Kuwait	2013	2013	50.83045		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KWT	Kuwait	2015	2015	55.8721		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KAZ	Kazakhstan	1999	1999	82.08642		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KAZ	Kazakhstan	2007	2007	99.34056		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	KAZ	Kazakhstan	2009	2009	95.2773		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	GBR	United Kingdom of Great Britain and Northern Ireland	2009	2009	99.76856		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	GBR	United Kingdom of Great Britain and Northern Ireland	2010	2010	99.80787		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	GBR	United Kingdom of Great Britain and Northern Ireland	2011	2011	99.85564		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	GBR	United Kingdom of Great Britain and Northern Ireland	2012	2012	99.80832		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	GBR	United Kingdom of Great Britain and Northern Ireland	2013	2013	99.83229		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	GBR	United Kingdom of Great Britain and Northern Ireland	2014	2014	99.85985		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	VEN	Venezuela (Bolivarian Republic of)	2001	2001	28.86691		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	VEN	Venezuela (Bolivarian Republic of)	2006	2006	45.92707		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	VEN	Venezuela (Bolivarian Republic of)	2007	2007	50.93899		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	VEN	Venezuela (Bolivarian Republic of)	2008	2008	52.6281		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	VEN	Venezuela (Bolivarian Republic of)	2009	2009	53.75724		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	VEN	Venezuela (Bolivarian Republic of)	2011	2011	65.37717		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	VEN	Venezuela (Bolivarian Republic of)	2015	2015	69.59715		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	TGO	Togo	2009	2009	26.94421		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	TGO	Togo	2011	2011	18.27075		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	LKA	Sri Lanka	2001	2001	74.81495		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	LKA	Sri Lanka	2008	2008	73.93102		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	LKA	Sri Lanka	2009	2009	74.02557		
EA_2T8_AG25T99	Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)	CRI	Costa Rica	2007	2007	47.67696		
