EDULIT_IND	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2004	2004	63.19961		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2007	2007	74.15696		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2008	2008	77.60057		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2009	2009	75.51861		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2010	2010	75.10961		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2011	2011	71.0144		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2012	2012	75.04228		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2013	2013	83.63504		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	QAT	Qatar	2014	2014	84.2349		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	AND	Andorra	2006	2006	93.00279		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	AND	Andorra	2014	2014	96.53449		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	AND	Andorra	2015	2015	96.45533		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2004	2004	98.47055		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2005	2005	98.42296		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2006	2006	98.54377		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2008	2008	98.67673		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2009	2009	98.59418		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2010	2010	98.68843		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2011	2011	98.7173		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2012	2012	98.79048		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2013	2013	98.86702		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2014	2014	98.79341		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	USA	United States of America	2015	2015	98.77388		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	CUB	Cuba	2002	2002	85.93741		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	CUB	Cuba	2012	2012	91.19461		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	MNG	Mongolia	2000	2000	94.46308		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	MNG	Mongolia	2010	2010	95.49479		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	KEN	Kenya	2009	2009	57.17208		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	KEN	Kenya	2010	2010	50.98652		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	LBN	Lebanon	2007	2007	78.44017		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	MLI	Mali	2006	2006	18.62671		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	MLI	Mali	2011	2011	16.31406		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	MLI	Mali	2015	2015	22.05014		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	TCD	Chad	2004	2004	8.54493		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	BLR	Belarus	2009	2009	99.03563		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	DZA	Algeria	2006	2006	46.5909		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	DZA	Algeria	2008	2008	64.37154		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	ARG	Argentina	2001	2001	80.87169		
EA_1T8_AG25T99	Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)	ARG	Argentina	2003	2003	89.97009		
