EDULIT_IND	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2000	2000	20.39844		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2005	2005	22.76704		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2007	2007	23.0604		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2010	2010	25.86958		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2011	2011	27.3734		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2012	2012	32.4357		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2013	2013	34.4805		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2014	2014	35.77473		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MLT	Malta	2015	2015	36.9078		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2001	2001	55.074		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2005	2005	63.55242		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2009	2009	74.53801		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2010	2010	75.69111		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2011	2011	76.65756		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2012	2012	77.63198		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2013	2013	78.48742		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2014	2014	74.12236		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	HUN	Hungary	2015	2015	75.09918		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ARG	Argentina	2001	2001	34.29335		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ARG	Argentina	2003	2003	42.15663		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ETH	Ethiopia	2007	2007	7.02419		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ETH	Ethiopia	2011	2011	8.83605		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	BGD	Bangladesh	2001	2001	17.12843		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	BMU	Bermuda	2000	2000	84.9348		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	BMU	Bermuda	2010	2010	77.01597		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	SYC	Seychelles	2002	2002	46.03647		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	FJI	Fiji	2007	2007	39.32962		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	IRN	Iran (Islamic Republic of)	2006	2006	43.35366		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	IRN	Iran (Islamic Republic of)	2008	2008	39.13467		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	IRN	Iran (Islamic Republic of)	2010	2010	42.48559		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	IRN	Iran (Islamic Republic of)	2012	2012	44.23712		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	IRN	Iran (Islamic Republic of)	2013	2013	46.31185		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	IRN	Iran (Islamic Republic of)	2014	2014	46.95283		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2001	2001	39.94764		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2003	2003	50.52935		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2007	2007	61.72164		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2009	2009	75.26008		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2010	2010	75.52083		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2011	2011	74.91494		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2012	2012	76.24888		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2013	2013	78.298		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	LUX	Luxembourg	2014	2014	79.56585		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MUS	Mauritius	2000	2000	20.39844		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MUS	Mauritius	2011	2011	43.5839		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MNE	Montenegro	2003	2003	64.55425		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	MNE	Montenegro	2011	2011	72.55584		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2001	2001	26.97645		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2002	2002	47.23959		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2003	2003	49.35774		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2004	2004	50.2828		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2005	2005	50.95873		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2006	2006	51.69332		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2007	2007	51.94975		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2008	2008	54.18271		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2009	2009	57.09445		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2010	2010	58.01028		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2011	2011	59.02537		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2012	2012	61.51736		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2014	2014	64.21572		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	ZAF	South Africa	2015	2015	64.62436		
EA_3T8_AG25T99	Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)	SVN	Slovenia	2004	2004	74.0511		
