lang_code	L1 speakers	L2 speakers	Total speakers
zh	897000000	193000000	1090000000
en	371000000	611000000	983000000
hi	329000000	215000000	544000000
es	436000000	91000000	527000000
ar	290000000	132000000	422000000
ms	77000000	204000000	281000000
ru	153000000	113000000	267000000
bn	242000000	19000000	261000000
pt	218000000	11000000	229000000
fr	76000000	153000000	229000000
ha	85000000	65000000	150000000
pa	148000000	0	148000000
ja	128000000	1000000	129000000
de	76000000	52000000	129000000
fa	60000000	61000000	121000000
sw	16000000	91000000	107000000
te	80000000	12000000	92000000
jv	84000000	0	84000000
-	80000000	0	80000000
ko	77000000	0	77000000
ta	67000000	8000000	75000000
mr	71000000	3000000	74000000
-	72000000	0	72000000
tr	71000000	0	71000000
vi	68000000	0	68000000
it	63000000	3000000	66000000
