	af_country	auid	eid	gini_index
0	ABW	111	129	0.295694864048
1	AFG	1452	1133	0.258190793653
2	AGO	1071	928	0.328967825662
3	AIA	65	59	0.328692848769
4	ALB	3628	3894	0.461454043253
5	AND	259	216	0.34391596837
6	ANT	522	448	0.368900997406
7	ARE	23279	41037	0.601335845277
8	ARG	115571	183827	0.659947838979
9	ARM	7866	14838	0.672323365939
10	ASM	180	178	0.308589440504
11	ATA	52	44	0.195221445221
12	ATF	8	6	0.0
13	ATG	155	144	0.33705743509
14	AUS	486163	1178180	0.728297112436
15	AUT	144138	341692	0.72551853279
16	AZE	8812	11491	0.573460502263
17	BDI	517	530	0.35927830104
18	BEL	187572	469462	0.752836193798
19	BEN	3575	4614	0.589857336301
20	BFA	4471	5778	0.614254369947
21	BGD	36544	38860	0.561547738446
22	BGR	31490	67670	0.671411744606
23	BHR	3728	5506	0.534103778438
24	BHS	362	497	0.499704684443
25	BIH	7211	8905	0.519860553199
26	BLR	17875	34583	0.682470656477
27	BLZ	369	389	0.362196033294
28	BMU	371	723	0.59202445129
29	BOL	3736	4140	0.466556146178
30	BRA	743276	797939	0.658893095087
31	BRB	1142	1934	0.558609167484
32	BRN	2222	3354	0.558960061996
33	BTN	658	734	0.409349449824
34	BVT	19	10	0.0
35	BWA	3698	6238	0.568049092632
36	CAF	777	659	0.46604952629
37	CAI	3	2	0.0
38	CAN	702646	1542785	0.713152921868
39	CCK	14	14	0.35119047619
40	CHE	275530	626520	0.747243220413
41	CHL	88640	124267	0.637500077012
42	CHN	4511611	4905894	0.675082480937
43	CIV	6667	5545	0.538727374804
44	CMR	11749	13577	0.592005162937
45	COD	1472	752	0.270653905144
46	COG	4767	4008	0.465362766279
47	COK	85	77	0.385258681786
48	COL	80121	78626	0.534933483269
49	COM	206	121	0.214684913839
50	CPV	254	262	0.31014000432
51	CRI	7982	10942	0.552657945524
52	CSK	1	1	0.0
53	CUB	47286	35972	0.506233097889
54	CXR	13	8	0.0
55	CYM	210	269	0.391135531136
56	CYP	8503	21531	0.693894585295
57	CZE	113011	280447	0.726172275628
58	DDR	9	3	0.132653061224
59	DEU	1252176	2694071	0.7399852701
60	DJI	282	230	0.344252510357
61	DMA	277	327	0.341396982981
62	DNK	136062	341832	0.729956540756
63	DOM	1437	1360	0.360726390551
64	DZA	38590	54281	0.588580854614
65	ECU	11442	12188	0.481729790755
66	EGY	111344	170420	0.608132302237
67	ERI	523	540	0.376269654944
68	ESH	11	11	0.0757575757576
69	ESP	679272	1209758	0.720610520009
70	EST	12948	34184	0.68576376099
71	ETH	14405	17390	0.54960045277
72	FIN	108988	295334	0.726902282104
73	FJI	1786	3057	0.530499881132
74	FLK	215	398	0.627418036509
75	FRA	878102	1904178	0.736014261246
76	FRO	310	651	0.579738893466
77	FSM	174	223	0.419709761638
78	GAB	2012	2385	0.625473400919
79	GBR	1333834	3038458	0.725537739164
80	GEO	12059	14953	0.590188616617
81	GHA	11352	15254	0.570940905806
82	GIB	91	133	0.520803982342
83	GIN	1142	829	0.444194632461
84	GLP	1583	1570	0.523738128021
85	GMB	1491	2309	0.681099702162
86	GNB	392	560	0.691962025316
87	GNQ	249	186	0.348777214998
88	GRC	127991	280900	0.735079871452
89	GRD	941	1285	0.564068859095
90	GRL	457	1173	0.645859165243
91	GTM	2518	2750	0.468005384916
92	GUF	980	1124	0.599272935578
93	GUM	586	872	0.469569881729
94	GUY	657	594	0.299478709162
95	HKG	109500	253652	0.725547334053
96	HMD	2	2	0.0
97	HND	1220	1176	0.365723773262
98	HRV	47060	90986	0.67343194139
99	HTI	1188	964	0.448580122823
100	HUN	73977	168090	0.712385596226
101	IDN	64794	65073	0.513209722263
102	IND	955339	1398139	0.66221594164
103	IOT	27	22	0.0938271604938
104	IRL	88589	177697	0.688534812107
105	IRN	307188	425593	0.666601300034
106	IRQ	15539	16953	0.422679570765
107	ISL	8430	18660	0.690301356292
108	ISR	142954	335548	0.724132019763
109	ITA	675315	1523002	0.757971793305
110	JAM	3895	5572	0.598384023066
111	JOR	20687	33557	0.597919749772
112	JPN	1765970	2476241	0.729237022566
113	KAZ	21177	17453	0.473499086044
114	KEN	19948	29645	0.610288502774
115	KGZ	1630	1910	0.457621866585
116	KHM	3168	3243	0.519395814145
117	KIR	70	58	0.158487394958
118	KNA	313	508	0.516492598684
119	KOR	685576	967283	0.71714369978
120	KWT	13414	21317	0.614478080462
121	LAO	1957	2228	0.520752883444
122	LBN	16531	25831	0.636264837637
123	LBR	609	425	0.361658636062
124	LBY	5051	4924	0.371301552578
125	LCA	136	128	0.17564392621
126	LIE	783	1528	0.626902325801
127	LKA	14065	15810	0.529111657422
128	LSO	517	568	0.342901706446
129	LTU	19931	43673	0.662489013128
130	LUX	6935	16053	0.659570626176
131	LVA	10410	20063	0.641817483043
132	MAC	4339	7368	0.61368821256
133	MAR	42789	51164	0.639798020145
134	MCO	981	1892	0.64230864902
135	MDA	3677	6901	0.655429932613
136	MDG	3354	3781	0.531679711302
137	MDV	226	252	0.392212389381
138	MEX	225032	273008	0.640253245303
139	MHL	93	91	0.286384976526
140	MKD	7827	10125	0.578750091751
141	MLI	2560	2974	0.604204835905
142	MLT	3051	5810	0.609780107964
143	MMR	2313	2100	0.397867561547
144	MNE	1576	3106	0.621445469465
145	MNG	3639	4045	0.454453748552
146	MNP	84	82	0.268195896245
147	MOZ	2540	3061	0.575768040536
148	MRT	661	579	0.36691040511
149	MSR	114	109	0.424822695035
150	MTQ	876	763	0.513600984111
151	MUS	1899	2773	0.567504234216
152	MWI	4227	6133	0.616239550919
153	MYS	166705	233212	0.672654546593
154	MYT	115	82	0.285822306238
155	NAM	1825	2933	0.518964734302
156	NCL	1305	2449	0.588668911336
157	NER	2003	1927	0.438838294283
158	NFK	36	24	0.0262762762763
159	NGA	63245	71344	0.554119885278
160	NIC	1508	1533	0.412319963524
161	NIU	16	18	0.0972222222222
162	NLD	355701	856981	0.746287269729
163	NOR	105908	270073	0.711759314024
164	NPL	9985	11369	0.527166652788
165	NRU	34	25	0.175070028011
166	NZL	89642	210152	0.698861319815
167	OMN	10221	15878	0.606116549243
168	PAK	98166	120424	0.638521278155
169	PAN	3451	6084	0.612971623629
170	PCN	9	3	0.0
171	PER	18295	18601	0.526822180175
172	PHL	23525	26051	0.51731272082
173	PLW	144	181	0.472998619738
174	PNG	2013	2601	0.560062197944
175	POL	220457	556367	0.709269284936
176	PRI	11608	15284	0.585530881898
177	PRK	3918	2477	0.218923277005
178	PRT	128014	258361	0.715183748137
179	PRY	2005	1922	0.479792887567
180	PSE	3704	5558	0.554261548605
181	PYF	948	1529	0.576094021227
182	QAT	9946	19747	0.636088765989
183	REU	1021	675	0.352349601188
184	ROM	12870	16056	0.543999773537
185	ROU	86142	151212	0.666257230426
186	RUS	489996	907088	0.708446061822
187	RWA	2372	2414	0.485040712142
188	SAU	74856	147120	0.654964533108
189	SCG	2416	1165	0.246676059999
190	SDN	7788	7579	0.460661466741
191	SEN	6819	8583	0.624453800271
192	SGP	128369	254904	0.712545171003
193	SGS	13	9	0.0
194	SHN	41	24	0.142928286853
195	SJM	29	25	0.188747731397
196	SLB	377	414	0.409921280055
197	SLE	1087	871	0.427175222099
198	SLV	1913	1413	0.25999221093
199	SMR	173	245	0.449112348078
200	SOM	230	160	0.173867595819
201	SPM	8	6	0.0
202	SRB	40596	67491	0.662221365606
203	STP	80	63	0.325576923077
204	SUN	8	5	0.0972222222222
205	SUR	385	384	0.420008424037
206	SUX	43	14	0.165306122449
207	SVK	43788	95452	0.688428725471
208	SVN	29674	82584	0.722662766578
209	SWE	218032	580466	0.717760830733
210	SWZ	1554	1332	0.28230033333
211	SYC	339	577	0.572806155014
212	SYR	4889	6617	0.532432877196
213	TCA	71	57	0.341913550267
214	TCD	486	464	0.364498164165
215	TGO	1903	1733	0.585996382936
216	THA	101704	149404	0.651542310018
217	TJK	1121	1462	0.487828491255
218	TKL	8	6	0.0
219	TKM	215	340	0.476357213036
220	TLS	207	181	0.280367340639
221	TMP	4	4	0.15
222	TON	124	135	0.291008922443
223	TTO	4435	5778	0.541292221321
224	TUN	49719	73107	0.660407682494
225	TUR	271061	512741	0.699434946229
226	TUV	36	30	0.172222222222
227	TWN	444438	597971	0.68877370293
228	TZA	9607	14632	0.604193043207
229	UGA	10017	14317	0.629997922917
230	UKR	95399	165576	0.654919681372
231	UMI	64	31	0.148026315789
232	UNX	1	1	0.0
233	URY	10781	16478	0.62839745878
234	USA	5477651	10687317	0.724966795502
235	UZB	6848	10305	0.606700627281
236	VAT	44	37	0.189669421488
237	VCT	96	81	0.155181623932
238	VEN	36111	36893	0.560487355576
239	VGB	93	135	0.434108527132
240	VIR	179	214	0.371222332577
241	VNM	36867	39546	0.512577491695
242	VUT	266	396	0.503270079962
243	WLF	30	16	0.197435897436
244	WSM	274	302	0.340310178336
245	YEM	2605	3457	0.450149718385
246	YUG	7232	6350	0.481386082182
247	YUX	8508	8011	0.487975711586
248	ZAF	106734	229179	0.682875404536
249	ZAR	3	2	0.0
250	ZMB	3700	5060	0.590940155086
251	ZRX	8	4	0.0
252	ZWE	6626	8739	0.559089764898
